Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,is_sarcastic,roberta_label,roberta_conf,semantic_entropy,mc_disagreement,correct
1602,Less than 5 minutes after getting my phone back after staff training week at camp I ran my face into a tree branch whilst texting,0,,,,,,,,False,neutral,0.4620198011398315,0.7219280948873623,0.19999999999999996,1
805,Love seeing 15 year olds being vaccinated in the states when I have to wait till the end of June for my first one,1,I don't like the fact that younger people in america are getting the vaccine when I still have to wait another month for mine in england ,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.74851393699646,0.9219280948873624,0.19999999999999996,0
864,I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,1,The red cross is always needy. ,0.0,1.0,0.0,0.0,0.0,0.0,True,negative,0.5646041035652161,0.0,0.0,1
321,im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot,1,I wish someone would hire me so I don't have to go through hoops and hurdles.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5306652784347534,0.0,0.0,0
2119,Every time I comment on a TikTok asking for captions and the creator actually starts adding captions I get a happy little feeling in my chest thank you 💜💜💜💜,0,,,,,,,,False,positive,0.9752324223518372,0.0,0.0,1
51,"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",1,"The first half of 2020 is now over, it's been awful so far hasn't it.",0.0,1.0,0.0,0.0,0.0,0.0,True,positive,0.967864453792572,0.0,0.0,0
1801,@mikk2k2 @ArgoBlockchain All/any updates are fully appreciated Mike. Many thanks,0,,,,,,,,False,positive,0.9631739258766174,0.0,0.0,1
2851,I love my writing teacher sm plsss,0,,,,,,,,False,positive,0.9799347519874572,0.0,0.0,1
764,If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat... I hate my life,1,this was the most embarrassing moment of my life.,1.0,0.0,0.0,0.0,1.0,0.0,True,negative,0.8478274941444397,0.0,0.0,1
139,Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1,I wish that my stomach could stop making whale noises after feeding it a protein bar,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.7609929442405701,1.295461844238322,0.4,1
2764,"there isn’t a labor shortage. no one wants to work at a minimum wage job with no benefits; where hogs &amp; karens get free meals and coupons for throwing tantrums. 

idk how this is news to anyone under 30.",0,,,,,,,,False,negative,0.792487382888794,0.0,0.0,1
1178,"My children are 18, 9, and 7.  They have never known their nation at peace #ww111",0,,,,,,,,False,negative,0.9043501019477844,1.295461844238322,0.4,0
2968,Selling my 4 day lollapalooza pass! Message me if interested!,0,,,,,,,,False,neutral,0.511780321598053,1.360964047443681,0.5,1
1674,@PetsatHome racial stereotyping is the problem. Please listen and retrain your staff. https://t.co/UvLkji9s5H,0,,,,,,,,False,negative,0.8858025074005127,0.0,0.0,1
1255,really not taking this 'university in lockdown' thing seriously,0,,,,,,,,False,negative,0.8014037013053894,0.7219280948873623,0.19999999999999996,1
279,"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg",1,I already knew that I am a night-owl.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.7082436680793762,1.370950594454669,0.4,1
2708,The meaning behind Little Talks - @monstersandmen has to be the most pure example of love I've heard in a song for at least a little while #ILoveYou,0,,,,,,,,False,positive,0.9735980033874512,0.0,0.0,1
3457,@Fatmangoes2 @avarebecca919 @daviddunn177 @SethAbramson It geta weirder and weirder and I think the only good guy was a drug dealer that has actually murdered people.,0,,,,,,,,False,negative,0.9176955223083496,0.46899559358928117,0.09999999999999998,1
3022,"okay ""deja vu"" is doing something for me that ""driver's license"" never did, and I think it might have something to do with those washed-out, low-fi drums that come in at like, 1:30. 10/10 production choice",0,,,,,,,,False,positive,0.8465731739997864,0.0,0.0,1
1104,i just sewed through my finger and my brain is just like ' how annoying is it that i just broke another needle and i'm going to have to buy some more' instead of OW I have 2 holes in my finger. can i swap brains,0,,,,,,,,False,negative,0.9189550876617432,1.4854752972273346,0.5,1
1465,my eye doctor is so cute and charming ok,0,,,,,,,,False,positive,0.9794418811798096,0.0,0.0,1
3256,"Had a look at the hashtag for #Malignant and tbh - it’s fine. The last 5 years have had some really new ideas in horror - this is no new ideas, but lots more body horror. And hot take: I’m not sure you can do body horror without being some kind of problematic.",0,,,,,,,,False,positive,0.6112313866615295,0.46899559358928117,0.09999999999999998,0
3429,My best friend rly is my soulmate,0,,,,,,,,False,positive,0.978074312210083,0.0,0.0,1
811,If you don't like Lemonade you're an extremist 🍋,1,I don't understand people who are disgusted by Lemonade.,1.0,0.0,0.0,0.0,1.0,0.0,True,negative,0.7207431793212891,1.1567796494470395,0.30000000000000004,1
1338,"Doggo owners have started walking the dogs around the technology park I work on &amp; I can see them all from my desk. 

This is the only positive of working from the office",0,,,,,,,,False,positive,0.778789222240448,0.7219280948873623,0.19999999999999996,1
1270,You can help protect Hossein and Arman. Join me and @AmnestyUK in calling on Iran to halt the executions now https://t.co/Sni2E0qOm6,0,,,,,,,,False,neutral,0.6897834539413452,1.4854752972273346,0.5,0
295,we happy!!!!!!!!!!,1,I am unhappy,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.9859657287597656,0.0,0.0,0
2490,pcc is cheugy,0,,,,,,,,False,neutral,0.6756330728530884,0.0,0.0,0
1650,Our kids/grandkids will have to remember today’s date for a US history test 😅,0,,,,,,,,False,neutral,0.758675217628479,1.1567796494470395,0.30000000000000004,1
2155,Well that was humiliating for India. No clouds and yet Anderson still delivers. I expect India to come back hard. #Cricket #INDvENG #ENGvsIND #3rdTest #bbccricket,0,,,,,,,,False,negative,0.5819346904754639,1.360964047443681,0.5,1
