Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,is_sarcastic,roberta_label,roberta_conf,ambiguous_flag,explanation
0,The only thing I got from college is a caffeine addiction,1,"College is really difficult, expensive, tiring, and I often question if a degree is worth the stress. ",0.0,1.0,0.0,0.0,0.0,0.0,True,neutral,0.4753217101097107,True,"The use of **negation** (""only thing... is"") creates ambiguity because it can be interpreted either as a literal statement about having nothing else or sarcastically implying that the college experience was actually valuable but forgotten."
6,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,1,Great recipe from Alexa,0.0,1.0,0.0,0.0,0.0,1.0,True,negative,0.5550609230995178,True,"The use of the rhetorical question ""Why would..."" in a context where Yorkshire pudding is traditionally not served as a bhaji creates an ironic and sarcastic tone that obscures whether the speaker genuinely believes this to be true or is mocking it entirely."
12,Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.3595956563949585,True,"The use of **sarcasm** creates ambiguity because the phrase ""fastest ever Poor Scouser Tommy"" is a deliberate misnomer that contradicts the literal meaning of being fast with slow speed, while the profanity reinforces this ironic tone rather than genuine praise."
13,do i just blast maneskin to get hyped for my osce or??,1,"I probably shouldn't be listening to Maneskin before my OSCE, it's not the right vibe.",1.0,0.0,0.0,0.0,0.0,1.0,True,positive,0.5384210348129272,True,"The use of the question mark and rhetorical phrasing (""or??"") functions as **hedging**, which softens the statement to express uncertainty rather than a definitive positive sentiment."
15,"I never thought I'd say this, but I have become one of those people who like bounty bars.",1,"No, it would be less logical.",1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5706833600997925,True,"The use of **hedging** (specifically the phrase ""I never thought I'd say this"") creates ambiguity by softening the speaker's assertion and suggesting that their opinion might be unexpected or contrary to what others expect about bounty bars."
19,I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1,I am not happy that I didn't get tickets to the Swiftogeddan event when I should be there instead of most people who bought tickets.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5654290318489075,True,"The use of **negation** (specifically the phrase ""only in... top 0.10%"" which implies being an exceptionally rare listener) creates ambiguity by contrasting with the enthusiastic confirmation that follows (""totally sound""), making it unclear whether the speaker is genuinely surprised or employing sarcasm to"
22,The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,1,"I would say that the invasions that take place are unrealistic and are only shown in this way for plot purposes, as opposed to realism.",1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5687699913978577,True,"The use of **sarcasm** creates the ambiguity because the statement about villains being ""awfully polite"" and limiting their invasions to a single city contradicts typical villain behavior, implying that the speaker actually finds them rude or overly aggressive while using positive adjectives."
26,@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,1,They are from an anti-vax movement and are attempting to enter the building that regulates medicine to change covid vaccination rules. ,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.5557780861854553,True,"The use of **hedging** (specifically the phrase ""I doubt"") creates ambiguity by expressing skepticism rather than a definitive negative judgment about whether the regulation change is actually happening or desired."
28,Not telling anyone how I voted in case it doesn't come true #EUref,1,I voted leave/remain in the EU Referendum,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5018970370292664,True,"The use of the conditional phrase ""in case it doesn't come true"" functions as a form of **hedging**, which creates ambiguity by implying that the voting outcome is uncertain or contingent rather than stating a definitive fact about how the user voted."
29,just wondering how to get my diss down by 1500 words .. such fun,1,getting my diss down by 1500 words is not fun.,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.5631173849105835,True,"The use of **sarcasm** creates the ambiguity because the phrase ""such fun"" directly contradicts the context of wanting to reduce a word count by 1500 words, implying that the task is actually tedious rather than enjoyable."
36,if 2020 was a nose it’d be mine 🐦,1,My nose is awful,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.4670579433441162,True,"The use of **sarcasm** creates the ambiguity because while the phrase ""if 2020 was a nose it'd be mine"" appears to express personal ownership or pride on its surface, the context implies that no one actually owns the year, making the literal interpretation misleading."
42,90% of adulthood is just refilling your Brita pitcher.,1,I have to refill my Brita pitcher too often.,0.0,1.0,0.0,0.0,1.0,0.0,True,neutral,0.5838265419006348,True,The use of **sarcasm** creates the ambiguity by presenting a mundane task as if it were an overwhelming burden to mock adult life rather than state a literal fact.
45,"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",1,"As someone who is aspec in multiple ways, I enjoy having all parts of my identity being recognised. ",1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.5316438674926758,True,"The use of **sarcasm** creates the ambiguity because while the speaker claims to be ""visible from space,"" they are actually stating that their lack of visibility is so profound it has been exaggerated or mocked by others; however, given the context of being informed about one's identity (aromantic"
47,"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1,I don’t think he drank 11 beers every hour,1.0,0.0,0.0,0.0,0.0,1.0,True,negative,0.5919926166534424,True,"The use of **sarcasm** creates ambiguity because the phrase ""not what we should be promoting to the kids"" appears on its surface to express genuine disapproval but is likely intended as ironic praise for a player's impressive skill level in consuming alcohol quickly, thereby conflicting with the literal interpretation that it"
62,JUSTICE HAS BEEN DONE.,1,Justice will never be done,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5350148677825928,True,"The phrase ""JUSTICE HAS BEEN DONE"" is linguistically ambiguous because it employs **sarcasm**, where the speaker likely intends to convey that justice has *not* been served despite using positive wording."
67,Billy Gunn sorta relevant for the first time in years...,1,Billy Gunn is actually in the spotlight now. ,1.0,0.0,0.0,1.0,0.0,0.0,True,neutral,0.5498349666595459,True,"The use of **hedging** with the word ""sorta"" creates ambiguity by softening the assertion and suggesting uncertainty about whether Billy Gunn is actually relevant or if he has simply become slightly more so than usual in years."
68,wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1,I could have said that I was too dumb for conceptual physics. ,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.5922225117683411,True,"The use of **sarcasm** creates ambiguity because the phrase ""too hot for conceptual physics"" is a pun that simultaneously expresses genuine frustration about lacking mathematical knowledge and mocks the speaker's own perceived inadequacy through exaggerated self-deprecation."
71,considering crowd surfing the next time the hallways are too packed,1,"The hallways are very crowded lately. I would prefer to take another form of transportation that is more efficient than walking, but none such option exists.",0.0,1.0,0.0,0.0,0.0,0.0,True,negative,0.5535070300102234,True,"The use of **negation** (specifically the phrase ""the next time"") creates ambiguity because it implies a future condition where crowd surfing might occur due to overcrowding, which could be interpreted either as an enthusiastic plan or as a reluctant necessity depending on context."
